Threshold,Radius,Accuracy,Selected Features
0.01,2.0,0.867,5;18
0.01,2.2,0.867,5;18
0.01,2.4000000000000004,0.867,5;18
0.01,2.6000000000000005,0.867,5;18
0.01,2.8000000000000007,0.867,5;18
0.01,3.000000000000001,0.867,5;18
0.01,3.200000000000001,0.867,5;18
0.01,3.4000000000000012,0.867,5;18
0.01,3.6000000000000014,0.867,5;18
0.01,3.8000000000000016,0.867,5;18
0.001,2.0,0.8586666666666666,5;18;4;3;10;6;7;12;19;11;16;13;9;15
0.001,2.2,0.8586666666666666,5;18;6;10;4;3;7;12;14;15;13;16;19;9;11
0.001,2.4000000000000004,0.8586666666666666,5;18;9;6;10;4;3;19;7;12;11;15;13;16
0.001,2.6000000000000005,0.8586666666666666,5;18;9;6;10;4;3;7;19;15;11;12;13;16
0.001,2.8000000000000007,0.867,5;18;9;6;11;14;20;16
0.001,3.000000000000001,0.867,5;18;9;6;11;20;16
0.001,3.200000000000001,0.867,5;18;9;6;11;20;16
0.001,3.4000000000000012,0.8586666666666666,5;18;9;6;11;13;15;10;16;12
0.001,3.6000000000000014,0.867,5;18;9;6;11;14;20;16
0.001,3.8000000000000016,0.867,5;18;9;6;11;14;20;16
